Name,INN,City,Region,Address,Website,Email,Category,OKVED
ООО Бетонный завод Астрахань,7900032009,Астрахань,Россия,"г Астрахань, ул Промышленная, 10",https://beton-астрахань.ru,beton@астрахань-bet.ru,Бетонный завод,23.51
ООО Бухгалтерия Астрахань,7800032005,Астрахань,Россия,"г Астрахань, ул Центральная, 6",https://accounting-астрахань.ru,info@астрахань-buh.ru,Бухгалтерия,69.20
ООО Бытовая химия оптом Астрахань,7900032027,Астрахань,Россия,"г Астрахань, ул Промышленная, 28",https://chemical-астрахань.ru,him@астрахань-him.ru,Бытовая химия оптом,46.44
ООО Видеонаблюдение Астрахань,7900032012,Астрахань,Россия,"г Астрахань, ул Промышленная, 13",https://cctv-астрахань.ru,cctv@астрахань-cam.ru,Видеонаблюдение,43.21
ООО Двери Астрахань,7800032022,Астрахань,Россия,"г Астрахань, ул Центральная, 23",https://doors-астрахань.ru,info@астрахань-doors.ru,Двери,47.52
ООО Зоомагазин Астрахань,7800032017,Астрахань,Россия,"г Астрахань, ул Центральная, 18",https://petshop-астрахань.ru,info@астрахань-pet.ru,Зоомагазин,47.76
ООО Игрушки оптом Астрахань,7900032023,Астрахань,Россия,"г Астрахань, ул Промышленная, 24",https://toys-астрахань.ru,toys@астрахань-toy.ru,Игрушки оптом,46.49
ООО Канцтовары оптом Астрахань,7900032024,Астрахань,Россия,"г Астрахань, ул Промышленная, 25",https://office-астрахань.ru,office@астрахань-off.ru,Канцтовары оптом,46.49
ООО Кафе Астрахань,7800032000,Астрахань,Россия,"г Астрахань, ул Центральная, 1",https://cafe-астрахань.ru,info@астрахань-cafe.ru,Кафе,56.10
ООО Клининг Астрахань,7800032009,Астрахань,Россия,"г Астрахань, ул Центральная, 10",https://cleaning-астрахань.ru,info@астрахань-cleaning.ru,Клининг,81.22
ООО Книжный магазин Астрахань,7800032018,Астрахань,Россия,"г Астрахань, ул Центральная, 19",https://bookshop-астрахань.ru,info@астрахань-books.ru,Книжный магазин,47.61
ООО Ковры Астрахань,7800032025,Астрахань,Россия,"г Астрахань, ул Центральная, 26",https://carpets-астрахань.ru,info@астрахань-carpets.ru,Ковры,47.53
ООО Кондиционеры Астрахань,7800032029,Астрахань,Россия,"г Астрахань, ул Центральная, 30",https://ac-астрахань.ru,info@астрахань-ac.ru,Кондиционеры,43.22
ООО Контроль доступа Астрахань,7900032013,Астрахань,Россия,"г Астрахань, ул Промышленная, 14",https://access-астрахань.ru,access@астрахань-acs.ru,Контроль доступа,43.21
ООО Кровельные материалы Астрахань,7900032008,Астрахань,Россия,"г Астрахань, ул Промышленная, 9",https://roof-астрахань.ru,roof@астрахань-roof.ru,Кровельные материалы,23.99
ООО Курьерская доставка Астрахань,7800032010,Астрахань,Россия,"г Астрахань, ул Центральная, 11",https://delivery-астрахань.ru,info@астрахань-delivery.ru,Курьерская доставка,53.20
ООО Кухни Астрахань,7800032027,Астрахань,Россия,"г Астрахань, ул Центральная, 28",https://kitchens-астрахань.ru,info@астрахань-kitchen.ru,Кухни,31.01
ООО СДЭК,7701320000,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 1",cdek.ru,info@cdek.ru,Логистика,49.41
ООО Boxberry,7701320001,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 2",boxberry.ru,info@boxberry.ru,Логистика,49.41
ООО Почта России,7701320002,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 3",russianpost.ru,info@russianpost.ru,Логистика,49.41
ООО Major Express,7701320003,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 4",majorexpress.ru,info@majorexpress.ru,Логистика,49.41
ООО Байкал Сервис,7701320004,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 5",baikalservice.ru,info@baikalservice.ru,Логистика,49.41
ООО Деловые Линии,7701320005,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 6",dellin.ru,info@dellin.ru,Логистика,49.41
ООО ЖелДорЭкспедиция,7701320006,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 7",jde.ru,info@jde.ru,Логистика,49.41
ООО ПЭК,7701320007,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 8",pecom.ru,info@pecom.ru,Логистика,49.41
ООО Энергия,7701320008,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 9",nrg-tk.ru,info@nrg-tk.ru,Логистика,49.41
ООО КИТ,7701320009,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 10",tk-kit.ru,info@tk-kit.ru,Логистика,49.41
ООО Автотрейдинг,7701320010,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 11",avtotreyding.ru,info@avtotreyding.ru,Логистика,49.41
ООО ТЭК Основа,7701320011,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 12",tek-osnova.ru,info@tek-osnova.ru,Логистика,49.41
ООО Главдоставка,7701320012,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 13",glavdostavka.ru,info@glavdostavka.ru,Логистика,49.41
ООО СТЭК,7701320013,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 14",stek-tk.ru,info@stek-tk.ru,Логистика,49.41
ООО Интайм,7701320014,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 15",intime.ru,info@intime.ru,Логистика,49.41
ООО Мебельный салон Астрахань,7800032019,Астрахань,Россия,"г Астрахань, ул Центральная, 20",https://furniture-астрахань.ru,info@астрахань-furniture.ru,Мебельный салон,47.59
ООО СМ-Клиника,7701320000,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 1",sm-clinic.ru,info@sm-clinic.ru,Медицина,86.10
ООО Медси,7701320001,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 2",medsi.ru,info@medsi.ru,Медицина,86.10
ООО ЕМЦ,7701320002,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 3",emcmos.ru,info@emcmos.ru,Медицина,86.10
ООО Семейный доктор,7701320003,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 4",semdoc.ru,info@semdoc.ru,Медицина,86.10
ООО Доктор рядом,7701320004,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 5",doctorrf.ru,info@doctorrf.ru,Медицина,86.10
ООО Клиника Маршака,7701320005,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 6",marshak-clinic.ru,info@marshak-clinic.ru,Медицина,86.10
ООО Альфа-Центр Здоровья,7701320006,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 7",alpha-health.ru,info@alpha-health.ru,Медицина,86.10
ООО Скандинавия,7701320007,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 8",scandclinic.ru,info@scandclinic.ru,Медицина,86.10
ООО Мать и дитя,7701320008,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 9",mdclinic.ru,info@mdclinic.ru,Медицина,86.10
ООО Клиника Врачебная практика,7701320009,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 10",med-practica.ru,info@med-practica.ru,Медицина,86.10
ООО Гемотест,7701320010,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 11",gemotest.ru,info@gemotest.ru,Медицина,86.10
ООО Инвитро,7701320011,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 12",invitro.ru,info@invitro.ru,Медицина,86.10
ООО CMD,7701320012,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 13",cmdlab.ru,info@cmdlab.ru,Медицина,86.10
ООО Labquest,7701320013,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 14",labquest.ru,info@labquest.ru,Медицина,86.10
ООО ДНКОМ,7701320014,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 15",dnkom.ru,info@dnkom.ru,Медицина,86.10
ООО Металлообработка Астрахань,7900032006,Астрахань,Россия,"г Астрахань, ул Промышленная, 7",https://metal-астрахань.ru,metal@астрахань-met.ru,Металлообработка,25.50
ООО Металлопрокат Астрахань,7900032029,Астрахань,Россия,"г Астрахань, ул Промышленная, 30",https://metaltrade-астрахань.ru,metal@астрахань-mtl.ru,Металлопрокат,46.72
ООО Молокозавод Астрахань,7900032003,Астрахань,Россия,"г Астрахань, ул Промышленная, 4",https://milk-астрахань.ru,info@астрахань-milk.ru,Молокозавод,10.51
ООО Мясокомбинат Астрахань,7900032001,Астрахань,Россия,"г Астрахань, ул Промышленная, 2",https://meat-астрахань.ru,office@астрахань-meat.ru,Мясокомбинат,10.11
ООО МИЦ,7701320000,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 1",mic.ru,info@mic.ru,Недвижимость,68.20
ООО БЕСТ-Недвижимость,7701320001,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 2",best.ru,info@best.ru,Недвижимость,68.20
ООО Inkom-Недвижимость,7701320002,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 3",inkom.ru,info@inkom.ru,Недвижимость,68.20
ООО Этажи,7701320003,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 4",etagi.ru,info@etagi.ru,Недвижимость,68.20
ООО Азбука Жилья,7701320004,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 5",azbuka.ru,info@azbuka.ru,Недвижимость,68.20
ООО Миэль,7701320005,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 6",miel.ru,info@miel.ru,Недвижимость,68.20
ООО НДВ-Недвижимость,7701320006,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 7",ndv.ru,info@ndv.ru,Недвижимость,68.20
ООО Квартирный вопрос,7701320007,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 8",kvartira.ru,info@kvartira.ru,Недвижимость,68.20
ООО Петербургская Недвижимость,7701320008,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 9",spbrealty.ru,info@spbrealty.ru,Недвижимость,68.20
ООО Верхоленд,7701320009,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 10",verholend.ru,info@verholend.ru,Недвижимость,68.20
ООО Максима,7701320010,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 11",maxima.ru,info@maxima.ru,Недвижимость,68.20
ООО Территория,7701320011,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 12",territoria.ru,info@territoria.ru,Недвижимость,68.20
ООО Консул,7701320012,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 13",consul.ru,info@consul.ru,Недвижимость,68.20
ООО Владис,7701320013,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 14",vladis.ru,info@vladis.ru,Недвижимость,68.20
ООО Нева-Недвижимость,7701320014,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 15",nevarealty.ru,info@nevarealty.ru,Недвижимость,68.20
ООО Независимая экспертиза Астрахань,7900032017,Астрахань,Россия,"г Астрахань, ул Промышленная, 18",https://expert-астрахань.ru,expert@астрахань-exp.ru,Независимая экспертиза,71.12
ООО Фоксфорд,7701320000,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 1",foxford.ru,info@foxford.ru,Образование,85.41
ООО Учи.ру,7701320001,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 2",uchi.ru,info@uchi.ru,Образование,85.41
ООО ЯКласс,7701320002,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 3",yaklass.ru,info@yaklass.ru,Образование,85.41
ООО SkillFactory,7701320003,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 4",skillfactory.ru,info@skillfactory.ru,Образование,85.41
ООО GeekBrains,7701320004,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 5",geekbrains.ru,info@geekbrains.ru,Образование,85.41
ООО Skillbox,7701320005,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 6",skillbox.ru,info@skillbox.ru,Образование,85.41
ООО Нетология,7701320006,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 7",netology.ru,info@netology.ru,Образование,85.41
ООО ProductStar,7701320007,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 8",productstar.ru,info@productstar.ru,Образование,85.41
ООО Нетология-Групп,7701320008,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 9",netology-group.ru,info@netology-group.ru,Образование,85.41
ООО Skyeng,7701320009,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 10",skyeng.ru,info@skyeng.ru,Образование,85.41
ООО LinguaLeo,7701320010,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 11",lingualeo.ru,info@lingualeo.ru,Образование,85.41
ООО Поколение,7701320011,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 12",pokolenie.ru,info@pokolenie.ru,Образование,85.41
ООО Тетрадка,7701320012,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 13",tetradka.ru,info@tetradka.ru,Образование,85.41
ООО MAXIMUM,7701320013,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 14",maximum.ru,info@maximum.ru,Образование,85.41
ООО Bilingua,7701320014,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 15",bilingua.ru,info@bilingua.ru,Образование,85.41
ООО Обувь оптом Астрахань,7900032022,Астрахань,Россия,"г Астрахань, ул Промышленная, 23",https://shoes-астрахань.ru,shoes@астрахань-shoe.ru,Обувь оптом,46.42
ООО Одежда оптом Астрахань,7900032021,Астрахань,Россия,"г Астрахань, ул Промышленная, 22",https://clothes-астрахань.ru,clothes@астрахань-clo.ru,Одежда оптом,46.42
ООО Окна Астрахань,7800032021,Астрахань,Россия,"г Астрахань, ул Центральная, 22",https://windows-астрахань.ru,info@астрахань-windows.ru,Окна,43.42
ООО Оптовая торговля Астрахань,7900032020,Астрахань,Россия,"г Астрахань, ул Промышленная, 21",https://opt-астрахань.ru,opt@астрахань-opt.ru,Оптовая торговля,46.11
ООО Марриотт,7701320000,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 1",marriott.ru,info@marriott.ru,Отели,55.10
ООО Хилтон,7701320001,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 2",hilton.ru,info@hilton.ru,Отели,55.10
ООО Хаятт,7701320002,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 3",hyatt.ru,info@hyatt.ru,Отели,55.10
ООО Рэдиссон,7701320003,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 4",radisson.ru,info@radisson.ru,Отели,55.10
ООО Азимут,7701320004,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 5",azimuthotels.ru,info@azimuthotels.ru,Отели,55.10
ООО Аквамарин,7701320005,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 6",aquamarine.ru,info@aquamarine.ru,Отели,55.10
ООО Accor,7701320006,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 7",accor.ru,info@accor.ru,Отели,55.10
ООО Интерконтиненталь,7701320007,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 8",ihg.com,info@ihg.com,Отели,55.10
ООО Шератон,7701320008,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 9",sheraton.ru,info@sheraton.ru,Отели,55.10
ООО Кортъярд,7701320009,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 10",courtyard.ru,info@courtyard.ru,Отели,55.10
ООО Холидей Инн,7701320010,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 11",hi.ru,info@hi.ru,Отели,55.10
ООО Ибис,7701320011,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 12",ibis.ru,info@ibis.ru,Отели,55.10
ООО Mercure,7701320012,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 13",mercure.ru,info@mercure.ru,Отели,55.10
ООО Novotel,7701320013,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 14",novotel.ru,info@novotel.ru,Отели,55.10
ООО Pullman,7701320014,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 15",pullman.ru,info@pullman.ru,Отели,55.10
ООО Охранное агентство Астрахань,7900032010,Астрахань,Россия,"г Астрахань, ул Промышленная, 11",https://security-астрахань.ru,security@астрахань-sec.ru,Охранное агентство,80.10
ООО Оценка недвижимости Астрахань,7900032016,Астрахань,Россия,"г Астрахань, ул Промышленная, 17",https://valuation-астрахань.ru,ocenka@астрахань-val.ru,Оценка недвижимости,68.31
ООО Пест-контроль Астрахань,7900032014,Астрахань,Россия,"г Астрахань, ул Промышленная, 15",https://pest-астрахань.ru,pest@астрахань-pest.ru,Пест-контроль,81.22
ООО Пластиковые окна Астрахань,7900032007,Астрахань,Россия,"г Астрахань, ул Промышленная, 8",https://winplast-астрахань.ru,okna@астрахань-plast.ru,Пластиковые окна,22.23
ООО Пожарная сигнализация Астрахань,7900032011,Астрахань,Россия,"г Астрахань, ул Промышленная, 12",https://fire-астрахань.ru,fire@астрахань-fire.ru,Пожарная сигнализация,43.21
ООО Пожарная экспертиза Астрахань,7900032018,Астрахань,Россия,"г Астрахань, ул Промышленная, 19",https://fireexp-астрахань.ru,fire@астрахань-fexp.ru,Пожарная экспертиза,71.12
ООО Полиграфия Астрахань,7900032005,Астрахань,Россия,"г Астрахань, ул Промышленная, 6",https://print-астрахань.ru,print@астрахань-poly.ru,Полиграфия,18.12
ООО Продукты оптом Астрахань,7900032025,Астрахань,Россия,"г Астрахань, ул Промышленная, 26",https://food-астрахань.ru,food@астрахань-food.ru,Продукты оптом,46.39
ООО Производство мебели Астрахань,7900032000,Астрахань,Россия,"г Астрахань, ул Промышленная, 1",https://mebfab-астрахань.ru,factory@астрахань-meb.ru,Производство мебели,31.01
ООО Прокат инструмента Астрахань,7800032015,Астрахань,Россия,"г Астрахань, ул Центральная, 16",https://tools-астрахань.ru,info@астрахань-tools.ru,Прокат инструмента,77.12
ООО Ремонт квартир Астрахань,7800032008,Астрахань,Россия,"г Астрахань, ул Центральная, 9",https://repair-астрахань.ru,info@астрахань-repair.ru,Ремонт квартир,43.34
ООО Ресторан Астрахань,7800032001,Астрахань,Россия,"г Астрахань, ул Центральная, 2",https://restaurant-астрахань.ru,info@астрахань-restaurant.ru,Ресторан,56.10
ООО Вкусно и точка,7701320000,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 1",vkusnoitochka.ru,info@vkusnoitochka.ru,Рестораны,56.10
ООО Бургер Кинг,7701320001,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 2",burgerking.ru,info@burgerking.ru,Рестораны,56.10
ООО KFC,7701320002,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 3",kfc.ru,info@kfc.ru,Рестораны,56.10
ООО Starbucks,7701320003,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 4",starbucks.ru,info@starbucks.ru,Рестораны,56.10
ООО Шоколадница,7701320004,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 5",shoko.ru,info@shoko.ru,Рестораны,56.10
ООО Чайхона №1,7701320005,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 6",chaihona.ru,info@chaihona.ru,Рестораны,56.10
ООО Хмель и Солод,7701320006,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 7",hmel.ru,info@hmel.ru,Рестораны,56.10
ООО Тануки,7701320007,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 8",tanuki.ru,info@tanuki.ru,Рестораны,56.10
ООО Якитория,7701320008,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 9",yakitoriya.ru,info@yakitoriya.ru,Рестораны,56.10
ООО Макдональдс,7701320009,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 10",mcdonalds.ru,info@mcdonalds.ru,Рестораны,56.10
ООО Додо Пицца,7701320010,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 11",dodopizza.ru,info@dodopizza.ru,Рестораны,56.10
ООО Доминос Пицца,7701320011,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 12",dominos.ru,info@dominos.ru,Рестораны,56.10
ООО Папа Джонс,7701320012,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 13",papajohns.ru,info@papajohns.ru,Рестораны,56.10
ООО Сабвей,7701320013,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 14",subway.ru,info@subway.ru,Рестораны,56.10
ООО Black Star Burger,7701320014,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 15",blackstarburger.ru,info@blackstarburger.ru,Рестораны,56.10
ООО ДНС,7701320000,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 1",dns-shop.ru,info@dns-shop.ru,Ритейл электроника,47.41
ООО Ситилинк,7701320001,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 2",citilink.ru,info@citilink.ru,Ритейл электроника,47.41
ООО Эльдорадо,7701320002,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 3",eldorado.ru,info@eldorado.ru,Ритейл электроника,47.41
ООО М.Видео,7701320003,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 4",mvideo.ru,info@mvideo.ru,Ритейл электроника,47.41
ООО Технопарк,7701320004,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 5",technopark.ru,info@technopark.ru,Ритейл электроника,47.41
ООО Юлмарт,7701320005,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 6",ulmart.ru,info@ulmart.ru,Ритейл электроника,47.41
ООО RBT.ru,7701320006,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 7",rbt.ru,info@rbt.ru,Ритейл электроника,47.41
ООО Электросила,7701320007,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 8",electrosila.ru,info@electrosila.ru,Ритейл электроника,47.41
ООО Холодильник.ру,7701320008,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 9",holodilnik.ru,info@holodilnik.ru,Ритейл электроника,47.41
ООО Позитроника,7701320009,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 10",positronica.ru,info@positronica.ru,Ритейл электроника,47.41
ООО 123.ru,7701320010,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 11",123.ru,info@123.ru,Ритейл электроника,47.41
ООО Фокстрот,7701320011,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 12",foxtrot.ru,info@foxtrot.ru,Ритейл электроника,47.41
ООО Фокус,7701320012,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 13",focus.ua,info@focus.ru,Ритейл электроника,47.41
ООО Компьютерный мир,7701320013,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 14",pcmarket.ru,info@pcmarket.ru,Ритейл электроника,47.41
ООО Кей,7701320014,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 15",key.ru,info@key.ru,Ритейл электроника,47.41
ООО Салон красоты Астрахань,7800032012,Астрахань,Россия,"г Астрахань, ул Центральная, 13",https://beauty-астрахань.ru,info@астрахань-beauty.ru,Салон красоты,96.02
ООО Салон штор Астрахань,7800032020,Астрахань,Россия,"г Астрахань, ул Центральная, 21",https://curtains-астрахань.ru,info@астрахань-curtains.ru,Салон штор,47.53
ООО Сантехника Астрахань,7800032023,Астрахань,Россия,"г Астрахань, ул Центральная, 24",https://plumbing-астрахань.ru,info@астрахань-plumb.ru,Сантехника,47.52
ООО Светильники Астрахань,7800032026,Астрахань,Россия,"г Астрахань, ул Центральная, 27",https://lights-астрахань.ru,info@астрахань-lights.ru,Светильники,47.52
ООО Стоматология Астрахань,7800032004,Астрахань,Россия,"г Астрахань, ул Центральная, 5",https://dental-астрахань.ru,info@астрахань-dental.ru,Стоматология,86.23
ООО ПИК,7701320000,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 1",pik.ru,info@pik.ru,Строительство,41.20
ООО Группа Эталон,7701320001,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 2",etalongroup.ru,info@etalongroup.ru,Строительство,41.20
ООО ГК Самолет,7701320002,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 3",sam.ru,info@sam.ru,Строительство,41.20
ООО ФСК,7701320003,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 4",fsk.ru,info@fsk.ru,Строительство,41.20
ООО Интеко,7701320004,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 5",inteco.ru,info@inteco.ru,Строительство,41.20
ООО КРОСТ,7701320005,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 6",krost.ru,info@krost.ru,Строительство,41.20
ООО МИЦ,7701320006,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 7",mic.ru,info@mic.ru,Строительство,41.20
ООО А101,7701320007,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 8",a101.ru,info@a101.ru,Строительство,41.20
